;created_at;favorite_count;id_str;is_retweet;retweet_count;source;text;sentiment
1650;Wed Aug 05 16:12:34 +0000 2015;938.0;628961805964972032;0.0;438.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""Now more than ever, we need clear thinking in our foreign policy."" —President Obama #IranDeal";0.3818
1651;Wed Aug 05 16:10:30 +0000 2015;1444.0;628961286278123521;0.0;867.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";“More than a decade later, we still live with the consequences of the decision to invade Iraq.” —President Obama #IranDeal;0.0
1652;Wed Aug 05 15:58:39 +0000 2015;638.0;628958304551571456;0.0;278.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";LIVE: President Obama is speaking at @AmericanU about the importance of the #IranDeal. http://t.co/pdVL3s6FuY;0.3612
1653;Wed Aug 05 14:29:09 +0000 2015;844.0;628935779042004992;0.0;398.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Tune in at 11:20 a.m. ET to watch President Obama discuss the historic #IranDeal at @AmericanU: http://t.co/kIskcVxC0h;0.0
1654;Tue Aug 04 21:13:10 +0000 2015;6033.0;628675064662130688;0.0;2349.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Help President Obama celebrate another great year—wish him a happy birthday: http://t.co/CHVz44cTcH #44turns54 http://t.co/r8aa6ZgfRe;0.9349
1655;Tue Aug 04 18:54:59 +0000 2015;1902.0;628640289553432576;0.0;914.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";The Clean Power Plan is the most important step we've ever taken to #ActOnClimate—show your support: http://t.co/kMSTiiFyyn;0.7574
1656;Tue Aug 04 17:21:15 +0000 2015;2996.0;628616702922588160;0.0;1870.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";WATCH: We only get one planet—that's why it's so important to #ActOnClimate. http://t.co/1blXJGfptg;0.3327
1657;Tue Aug 04 15:16:38 +0000 2015;15352.0;628585339267878912;0.0;9727.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";It's President Obama's birthday. Wish him a happy 54th: http://t.co/UN7hcB9IYX #44Turns54 http://t.co/x0U8OV7bro;0.7506
1658;Mon Aug 03 21:46:16 +0000 2015;0.0;628321008538263554;0.0;1404.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";RT @WhiteHouse: President Obama's #CleanPowerPlan will ↓ carbon pollution from power plants by 32% by 2030 → http://t.co/knl0MOnPuy http://…;0.0
1659;Mon Aug 03 19:07:37 +0000 2015;2382.0;628281083285536768;0.0;1456.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";If you're committed to #ActOnClimate, support the Clean Power Plan—add your name now: http://t.co/kWMuOwfi2N http://t.co/rAFdvL9DZm;0.7579
